station_code,Vs30
YMG014,400.0
YMG015,329.5
YMG016,224.6667
YMG017,192.0
YMG018,338.0
YMG019,1670.0
YMN001,1161.3333
YMN002,343.0
YMN003,579.3333
YMN004,408.5
YMN005,193.3333
YMN006,381.0
YMN007,406.0
YMN008,609.0
YMN009,379.8333
YMN010,485.5
YMN011,234.0
YMT001,203.3333
YMT002,516.3333
YMT003,376.6667
YMT004,384.6667
YMT005,144.0
YMT006,108.3333
YMT007,290.0
YMT008,235.0
YMT009,302.6667
YMT010,689.0
YMT011,218.6667
YMT012,389.0
YMT013,505.6667
YMT014,538.6667
YMT015,142.0
YMT016,390.3333
ABSH01,1193.3333
ABSH02,885.3333
ABSH03,782.0
ABSH04,1720.0
ABSH05,950.6667
ABSH06,344.0
ABSH07,358.6667
ABSH08,654.0
ABSH09,508.0
ABSH10,956.6667
ABSH11,316.0
ABSH12,357.3333
ABSH13,516.6667
ABSH14,416.6667
ABSH15,489.3333
AICH04,260.0
AICH05,329.3333
AICH06,235.3333
AICH07,974.0
AICH08,664.0
AICH09,300.6667
AICH10,1030.6667
AICH11,594.6667
AICH12,166.6667
AICH14,419.3333
AICH15,857.3333
AICH16,380.0
AICH17,508.6667
AICH18,780.6667
AICH19,1017.3333
AICH20,1434.0
AICH21,435.3333
AICH22,423.3333
AICH23,230.0
AKTH01,531.3333
AKTH02,787.3333
AKTH03,350.6667
AKTH04,594.6667
AKTH05,980.0
AKTH06,323.3333
AKTH07,354.0
AKTH08,582.0
AKTH09,330.6667
AKTH10,507.3333
AKTH11,382.0
AKTH12,579.3333
AKTH13,974.6667
AKTH14,493.3333
AKTH15,908.6667
AKTH16,414.0
AKTH17,295.3333
AKTH18,340.0
AKTH19,374.0
AOMH01,398.0
AOMH02,1085.3333
AOMH03,670.0
AOMH05,350.0
AOMH06,486.0
AOMH07,676.0
AOMH08,358.6667
AOMH09,407.3333
AOMH10,371.3333
AOMH11,1052.0
AOMH12,346.6667
AOMH13,160.6667
